,Year,GDP
0,1990,5647119229.00763
1,1991,5930370370.37037
2,1992,6463649985.01648
3,1993,5368270614.8468
4,1994,4167356037.1517
5,1995,4258788725.44991
6,1996,5785685310.86668
7,1997,6838557384.40357
8,1998,6325141675.86989
9,1999,7641102523.15082
10,2000,9652436179.64605
11,2001,9861560094.74009
12,2002,10694628091.6726
13,2003,11777966673.3897
14,2004,13872791658.5487
15,2005,16746344766.2044
16,2006,19061978586.1278
17,2007,21650532264.2322
18,2008,26910851361.7555
19,2009,25130274124.2525
20,2010,30906749533.221
21,2011,32726417878.391
22,2012,35401323349.8817
23,2013,40415233436.1767
24,2014,43228585321.3272
25,2015,42444495590.1077
26,2016,31317828583.5859
27,2017,26842231204.8047
28,2018,21606161066.2074
